metric,value
UCMR5_PFOS_sample_median_ngl,6.8
UCMR5_PFOS_pws_max_median_ngl,7.249999999999999
UCMR5_PFOS_pws_mean_median_ngl,6.2749999999999995
UCMR5_PFOS_pws_median_median_ngl,6.1000000000000005
UCMR5_PFOS_n_detected_samples,4378.0
UCMR5_PFOS_n_detected_pws,1336.0
UCMR5_PFOA_sample_median_ngl,6.1000000000000005
UCMR5_PFOA_pws_max_median_ngl,6.6
UCMR5_PFOA_pws_mean_median_ngl,5.8
UCMR5_PFOA_pws_median_median_ngl,5.7
UCMR5_PFOA_n_detected_samples,4270.0
UCMR5_PFOA_n_detected_pws,1288.0
UCMR3_PFOS_sample_median_ngl,60.0
UCMR3_PFOS_pws_max_median_ngl,70.0
UCMR3_PFOS_pws_mean_median_ngl,60.0
UCMR3_PFOS_n_detected_samples,292.0
UCMR3_PFOS_n_detected_pws,95.0
UCMR3_PFOA_sample_median_ngl,30.0
UCMR3_PFOA_pws_max_median_ngl,31.0
UCMR3_PFOA_pws_mean_median_ngl,27.799999999999997
UCMR3_PFOA_n_detected_samples,379.0
UCMR3_PFOA_n_detected_pws,117.0
