,PFHpA,PFOA,PFHxA,PFBA,PFBS,PFPeA,lithium,PFHxS,PFOS,6:2 FTS,PFPeS,PFDA,PFNA,PFHpS,PFDoA,ADONA,PFUnA,8:2 FTS,4:2 FTS,NEtFOSAA,PFMPA,PFMBA,HFPO-DA,NMeFOSAA,9Cl-PF3ONS,NFDHA
PFHpA,553.0,494.0,542.0,414.0,467.0,538.0,159.0,343.0,443.0,61.0,28.0,10.0,47.0,3.0,0.0,1.0,5.0,8.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0
PFOA,494.0,1288.0,1007.0,632.0,894.0,1036.0,324.0,568.0,903.0,69.0,30.0,13.0,60.0,4.0,1.0,2.0,5.0,9.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0
PFHxA,542.0,1007.0,1778.0,1068.0,1194.0,1684.0,582.0,702.0,929.0,107.0,47.0,13.0,64.0,4.0,1.0,2.0,5.0,9.0,2.0,0.0,1.0,0.0,35.0,0.0,0.0,4.0
PFBA,414.0,632.0,1068.0,1893.0,914.0,1153.0,684.0,509.0,629.0,101.0,32.0,10.0,47.0,4.0,1.0,1.0,5.0,9.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0
PFBS,467.0,894.0,1194.0,914.0,1674.0,1254.0,536.0,709.0,921.0,92.0,47.0,10.0,52.0,4.0,2.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,28.0,0.0,1.0,4.0
PFPeA,538.0,1036.0,1684.0,1153.0,1254.0,2032.0,678.0,718.0,963.0,115.0,46.0,12.0,68.0,3.0,1.0,2.0,5.0,9.0,2.0,0.0,2.0,1.0,41.0,0.0,0.0,4.0
lithium,159.0,324.0,582.0,684.0,536.0,678.0,3753.0,382.0,379.0,67.0,26.0,2.0,42.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,4.0
PFHxS,343.0,568.0,702.0,509.0,709.0,718.0,382.0,1021.0,734.0,65.0,48.0,7.0,52.0,4.0,2.0,1.0,5.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0
PFOS,443.0,903.0,929.0,629.0,921.0,963.0,379.0,734.0,1336.0,67.0,39.0,12.0,64.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,0.0,0.0,29.0,0.0,1.0,1.0
6:2 FTS,61.0,69.0,107.0,101.0,92.0,115.0,67.0,65.0,67.0,182.0,6.0,3.0,10.0,1.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PFPeS,28.0,30.0,47.0,32.0,47.0,46.0,26.0,48.0,39.0,6.0,50.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PFDA,10.0,13.0,13.0,10.0,10.0,12.0,2.0,7.0,12.0,3.0,0.0,15.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFNA,47.0,60.0,64.0,47.0,52.0,68.0,42.0,52.0,64.0,10.0,4.0,5.0,83.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
