,PC1,PC2,PC3,PC4,PC5,Det_Rate_Pct
PFPeA,0.46733243310157757,0.15662550451663193,0.5187550221516529,-0.05076258274891569,0.22944562823967773,19.733903078566573
PFHxA,0.4515798810191777,0.10330016873915769,0.4225362304027374,-0.062201241892575025,0.17000117636327952,17.26716519374575
PFBS,0.3930616883869293,-0.10260196356467355,-0.10000827170902302,0.8362253148592942,-0.3513822078150972,16.257162280275807
PFOA,0.33602176763659336,-0.30871564450618727,-0.005551777883129794,-0.4216124327256524,-0.5306567968739854,12.508497620666214
PFOS,0.33005955050460445,-0.41809538242780886,-0.33800471261020715,-0.2203242112020928,0.00491838899756987,12.974652811498494
PFBA,0.3189773539654802,0.7735041588229022,-0.5127569991029016,-0.14562844280634485,-0.07887171831568124,18.38399533844809
PFHxS,0.2486111878076786,-0.28191342503573985,-0.39368091161544533,0.08710640480047846,0.703076723371334,9.91550937166165
PFHpA,0.18966324089567294,-0.07533918714251427,-0.09644772321104707,-0.19501343913416852,-0.10520853287523305,5.370496261046907
6_2_FTS,0.030324782379361648,0.015835006221632794,-0.01006249005205924,-0.0036046390615871726,0.020153674773771814,1.7675050985723997
PFNA,0.022148849768370654,-0.017057902331020208,-0.01628016520370931,-0.029052549842388586,0.010378761911510393,0.8060600174808197
PFPeS,0.016024468664761593,-0.01007085026124002,-0.01441806024968626,0.011550231877296176,0.02983192157124705,0.4855783237836263
HFPO_DA,0.009833454945943988,-0.006604476857100837,0.015706707505954848,-0.008900887063517618,-0.01819345232660087,0.45644362435660873
PFDA,0.004291225898067504,-0.002185819083434171,-0.002483355801111249,-0.007094617220979892,-0.004226232589442139,0.1456734971350879
8_2_FTS,0.003505229589534571,-0.0011309717124975375,-0.004782220707534902,-0.004192533420329783,0.0007208631960797986,0.09711566475672526
PFUnA,0.001982374069019696,-0.0009599313571936602,-0.003033756627964687,-0.0018012512469356996,0.0005057378437863976,0.058269398854035155
PFHpS,0.0014403456818408947,-0.0007771088767396202,-0.0028461734891719846,-0.0007607874474220329,0.00015291460877719657,0.04855783237836263
NFDHA,0.0010950859350945317,0.001818103532459983,0.00019838050384337916,0.0026765567926241695,0.0012766775485661024,0.0388462659026901
4_2_FTS,0.0005630348535503078,-0.0002586567222994648,0.0005298970852353708,-0.0012144416403804647,-6.161865356848968e-05,0.01942313295134505
ADONA,0.000558242713013264,-0.00034932304861548616,0.00046385881708908616,0.00017698729681203115,-0.000756159492062645,0.029134699427017578
PFMPA,0.0002771178528589621,0.0014601542022271024,0.000462955662492035,0.0006129143115702574,0.00021490603018762492,0.01942313295134505
PFDoA,0.00026809217561155123,-0.0005496681883178293,-0.0009787931557531109,0.0015179989274441547,0.0009071009687291174,0.0388462659026901
PFMBA,0.00013347548180697716,0.0006452029987566969,-8.363206771879635e-05,0.0010442924723242776,-0.00037519039808680887,0.009711566475672525
9Cl_PF3ONS,9.726345741127679e-05,-0.0007052516514169923,-0.0009748130286552782,0.001147097483813241,0.0006575876928488424,0.009711566475672525
NEtFOSAA,5.396372490453797e-05,-0.00047191528427916254,-0.0004995132281551341,0.0010039559986674729,-0.0006455602450278374,0.009711566475672525
11Cl_PF3OUdS,0.0,-0.0,-0.0,-0.0,0.0,0.0
PFTA,0.0,-0.0,-0.0,-0.0,0.0,0.0
PFEESA,0.0,-2.3161057151484775e-23,-2.964615315390051e-21,-1.3552527156068805e-19,8.673617379884035e-18,0.0
PFTrDA,0.0,-0.0,-0.0,-0.0,0.0,0.0
NMeFOSAA,-7.19797472700333e-05,-4.094032422954016e-05,2.930967872434103e-05,-8.150962723345391e-06,-3.3919068755286923e-06,0.009711566475672525
