Compound_1,Compound_2,Co_Detection_N,N_1,N_2,Phi,Chi2_p
PFHxA,PFPeA,1684,1778,2032,0.86,0.0
PFBS,PFPeA,1254,1674,2032,0.611,0.0
PFBS,PFHxA,1194,1674,1778,0.63,0.0
PFBA,PFPeA,1153,1893,2032,0.491,0.0
PFBA,PFHxA,1068,1893,1778,0.491,0.0
PFOA,PFPeA,1036,1288,2032,0.576,0.0
PFHxA,PFOA,1007,1778,1288,0.609,0.0
PFOS,PFPeA,963,1336,2032,0.507,0.0
PFHxA,PFOS,929,1778,1336,0.534,0.0
PFBS,PFOS,921,1674,1336,0.551,0.0
PFBA,PFBS,914,1893,1674,0.412,0.0
PFOA,PFOS,903,1288,1336,0.642,0.0
PFBS,PFOA,894,1674,1288,0.544,0.0
PFHxS,PFOS,734,1021,1336,0.581,0.0
PFHxS,PFPeA,718,1021,2032,0.421,0.0
PFBS,PFHxS,709,1674,1021,0.478,0.0
PFHxA,PFHxS,702,1778,1021,0.452,0.0
PFBA,PFOA,632,1893,1288,0.299,2.1402542641613548e-202
PFBA,PFOS,629,1893,1336,0.286,8.935178263419472e-185
PFHxS,PFOA,568,1021,1288,0.432,0.0
PFHpA,PFHxA,542,553,1778,0.508,0.0
PFHpA,PFPeA,538,553,2032,0.464,0.0
PFBA,PFHxS,509,1893,1021,0.269,3.4190911171439756e-164
PFHpA,PFOA,494,553,1288,0.553,0.0
PFBS,PFHpA,467,1674,553,0.44,0.0
PFHpA,PFOS,443,553,1336,0.475,0.0
PFBA,PFHpA,414,1893,553,0.347,2.653860523166032e-271
PFHpA,PFHxS,343,553,1021,0.415,0.0
6_2_FTS,PFPeA,115,182,2032,0.146,2.3820184216426547e-49
6_2_FTS,PFHxA,107,182,1778,0.146,6.447731313865142e-50
6_2_FTS,PFBA,101,182,1893,0.128,2.5386106373592524e-38
6_2_FTS,PFBS,92,182,1674,0.124,4.0168454492347347e-36
6_2_FTS,PFOA,69,182,1288,0.102,4.674398397880833e-25
PFNA,PFPeA,68,83,2032,0.14,1.7120946842897763e-45
6_2_FTS,PFOS,67,182,1336,0.094,1.3590838542700526e-21
6_2_FTS,PFHxS,65,182,1021,0.115,3.093121338836299e-31
PFNA,PFOS,64,83,1336,0.17,5.1538093878868754e-67
PFHxA,PFNA,64,1778,83,0.141,1.2877225253858398e-46
6_2_FTS,PFHpA,61,182,553,0.166,1.5099044092767767e-63
PFNA,PFOA,60,83,1288,0.161,3.4918354059239685e-60
PFBS,PFNA,52,1674,83,0.112,7.230570749113955e-30
PFHxS,PFNA,52,1021,83,0.157,2.5879505472990756e-57
PFHxS,PFPeS,48,1021,50,0.199,1.4831267229337065e-90
PFHpA,PFNA,47,553,83,0.203,7.157344975618815e-94
PFBS,PFPeS,47,1674,50,0.145,3.4166363866869692e-49
PFBA,PFNA,47,1893,83,0.088,6.181217030425466e-19
PFHxA,PFPeS,47,1778,50,0.14,8.791059812266235e-46
PFPeA,PFPeS,46,2032,50,0.125,6.494813573617183e-37
HFPO_DA,PFPeA,41,47,2032,0.113,1.8598441427234167e-30
PFOS,PFPeS,39,1336,50,0.133,1.4436045599762799e-41
HFPO_DA,PFHxA,35,47,1778,0.101,1.8696907500900675e-24
HFPO_DA,PFOA,32,47,1288,0.112,1.0114753923101284e-29
PFBA,PFPeS,32,1893,50,0.08,3.229977166648696e-16
PFOA,PFPeS,30,1288,50,0.098,2.2437176396104126e-23
HFPO_DA,PFOS,29,47,1336,0.096,1.9050956183002993e-22
HFPO_DA,PFBS,28,47,1674,0.078,3.5805486200597046e-15
PFHpA,PFPeS,28,553,50,0.154,6.739848399175054e-55
HFPO_DA,PFBA,16,47,1893,0.026,0.00962572714573371
PFDA,PFHxA,13,15,1778,0.067,1.2464098049932296e-11
PFDA,PFOA,13,15,1288,0.082,1.0606918673447128e-16
PFDA,PFOS,12,15,1336,0.072,2.0356902521012642e-13
PFDA,PFPeA,12,15,2032,0.055,2.9502133463516633e-08
HFPO_DA,PFHpA,12,47,553,0.057,5.8483425348503456e-09
6_2_FTS,PFNA,10,182,83,0.066,1.8332579613533365e-11
PFBA,PFDA,10,1893,15,0.044,6.8734740025057454e-06
PFBS,PFDA,10,1674,15,0.049,7.614023612622131e-07
PFDA,PFHpA,10,15,553,0.098,2.161725355082753e-23
PFDA,PFHxS,7,15,1021,0.043,1.4663072901841366e-05
HFPO_DA,PFHxS,7,47,1021,0.009,0.3681544751181798
6_2_FTS,PFPeS,6,182,50,0.049,6.816119568731033e-07
PFDA,PFNA,5,15,83,0.125,1.0628891692720174e-36
PFNA,PFPeS,4,83,50,0.048,9.106992958834131e-07
6_2_FTS,PFDA,3,182,15,0.043,1.1735688213646001e-05
HFPO_DA,PFPeS,1,47,50,0.006,0.567598154382426
