Compound,Total_Results,Detected,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String,MRL_UGL
lithium,64811,18344,0.2830383731156748,28.30383731156748,0.2795831258930211,0.2865193391325202,0.2796-0.2865,
PFPeA,64181,6832,0.10644894906592293,10.644894906592294,0.1040863889403464,0.10885861893515798,0.1041-0.1089,0.005
PFHxA,64195,5899,0.0918918918918919,9.18918918918919,0.08968157899179284,0.0941510464243019,0.0897-0.0942,0.003
PFBS,64196,5524,0.08604897501401956,8.604897501401956,0.08390428473728476,0.08824320542100869,0.0839-0.0882,0.003
PFBA,64187,5256,0.08188574010313615,8.188574010313616,0.07978946198059844,0.08403206361223628,0.0798-0.0840,0.005
PFOS,64200,4378,0.06819314641744548,6.819314641744548,0.06626892770091546,0.07016903896430664,0.0663-0.0702,0.004
PFOA,64200,4270,0.06651090342679128,6.651090342679128,0.06460924536838188,0.06846443662761882,0.0646-0.0685,0.004
PFHxS,64190,3170,0.04938463935192398,4.938463935192398,0.04773525877391775,0.051087952952984114,0.0477-0.0511,0.003
PFHpA,64204,1493,0.023254002865865056,2.3254002865865058,0.022116437943529885,0.024448615880051688,0.0221-0.0244,0.003
6:2 FTS,64191,252,0.00392578398840959,0.39257839884095896,0.003470817016565539,0.004440123914862819,0.0035-0.0044,0.005
PFNA,64203,173,0.0026945781349781163,0.2694578134978116,0.0023222482656935555,0.003126417192412392,0.0023-0.0031,0.004
HFPO-DA,64206,117,0.0018222596019063638,0.1822259601906364,0.0015208349236022114,0.002183295067585931,0.0015-0.0022,0.005
PFPeS,64205,99,0.0015419359862939024,0.15419359862939025,0.0012667982741963373,0.0018767189575488931,0.0013-0.0019,0.004
PFDA,64204,29,0.00045168525325524887,0.045168525325524886,0.0003145234373055588,0.0006486237182281665,0.0003-0.0006,0.003
8:2 FTS,64196,12,0.00018692753442582093,0.018692753442582092,0.00010693642831195366,0.00032673442361114515,0.0001-0.0003,0.005
PFUnA,64202,12,0.000186910065107006,0.0186910065107006,0.00010692643427364839,0.00032670389135080384,0.0001-0.0003,0.004
PFHpS,64205,6,9.345066583599408e-05,0.009345066583599407,4.282937509185462e-05,0.00020389054081455538,0.0000-0.0002,0.003
NFDHA,64199,5,7.788283306593561e-05,0.007788283306593561,3.326684451969769e-05,0.00018232485913473992,0.0000-0.0002,0.02
PFDoA,64195,4,6.231014876548018e-05,0.006231014876548018,2.4231066514035496e-05,0.0001602208597961115,0.0000-0.0002,0.005
ADONA,64205,4,6.230044389066272e-05,0.006230044389066272,2.4227292458302635e-05,0.0001601959069784553,0.0000-0.0002,0.003
PFMPA,64205,3,4.672533291799704e-05,0.004672533291799704,1.589066658223308e-05,0.00013738417461969883,0.0000-0.0001,0.004
4:2 FTS,64205,2,3.115022194533136e-05,0.003115022194533136,8.542377170109097e-06,0.00011358410579699679,0.0000-0.0001,0.005
PFMBA,64205,2,3.115022194533136e-05,0.003115022194533136,8.542377170109097e-06,0.00011358410579699679,0.0000-0.0001,0.003
NMeFOSAA,64585,2,3.09669427885732e-05,0.0030966942788573197,8.492115979029555e-06,0.00011291585180220405,0.0000-0.0001,0.004
9Cl-PF3ONS,64178,1,1.558166349839509e-05,0.001558166349839509,2.7504807583703144e-06,8.826591662714815e-05,0.0000-0.0001,0.003
NEtFOSAA,64584,1,1.548371113588505e-05,0.001548371113588505,2.733190139576368e-06,8.77110770055886e-05,0.0000-0.0001,0.004
11Cl-PF3OUdS,64206,0,0.0,0.0,0.0,5.982883471246563e-05,0.0000-0.0001,0.005
PFEESA,64205,0,0.0,0.0,3.3881317890172014e-21,5.982976649745382e-05,0.0000-0.0001,0.003
PFTrDA,64584,0,0.0,0.0,0.0,5.9478686775004415e-05,0.0000-0.0001,0.004
PFTA,64585,0,0.0,0.0,0.0,5.947776589323441e-05,0.0000-0.0001,0.004
