State,n_pws,n_detected,detection_rate,ci_lo,ci_hi
AK,32,9,28.125,15.564406845647866,45.37483693811179
AL,309,118,38.18770226537217,32.94694909674612,43.71855830380421
AR,185,11,5.9459459459459465,3.3521838279429845,10.332089128863142
AS,1,1,100.0,20.654329147389294,100.0
AZ,154,57,37.01298701298701,29.78978833052774,44.86834995494326
CA,719,236,32.82336578581363,29.490212548172558,36.33909224004108
CO,178,39,21.910112359550563,16.462184371007865,28.544898716690444
CT,104,48,46.15384615384615,36.88084282037568,55.70086961712525
DC,3,3,100.0,43.84939195509823,100.0
DE,46,17,36.95652173913043,24.523559514309497,51.40016685081521
FL,407,191,46.928746928746925,42.13159390997328,51.78333583423955
GA,255,77,30.19607843137255,24.88916002369232,36.0908370092421
GU,5,3,60.0,23.07199322088371,88.23817688407468
HI,45,2,4.444444444444445,1.2273869040444336,14.827779183880615
IA,152,32,21.052631578947366,15.32572000978816,28.20668725502431
ID,61,8,13.114754098360656,6.797996145868098,23.802112426406495
IL,487,123,25.256673511293638,21.601663166794648,29.298993990218936
IN,230,55,23.91304347826087,18.857599700698234,29.825611498677763
KS,103,34,33.00970873786408,24.682835312636037,42.5583890793611
KY,231,87,37.66233766233766,31.663647253311222,44.06467345307129
LA,268,47,17.537313432835823,13.452123061630234,22.540013535564608
MA,263,143,54.372623574144484,48.333043985317964,60.28630172389677
MD,83,30,36.144578313253014,26.634477449403114,46.88051997118795
ME,41,10,24.390243902439025,13.824855751022433,39.343630654458195
MI,319,44,13.793103448275861,10.437828490504392,18.010054310225133
MN,196,87,44.38775510204081,37.60621228986,51.38506880476693
MO,232,71,30.603448275862068,25.029255829447923,36.80953766584723
MP,2,1,50.0,9.452865480086615,90.54713451991339
MS,239,9,3.765690376569038,1.993550296440526,7.000625330799617
MT,45,5,11.11111111111111,4.840400437825558,23.499375490890944
NC,290,145,50.0,44.28298363180345,55.71701636819656
ND,38,7,18.421052631578945,9.221648453257492,33.419168341511345
NE,53,7,13.20754716981132,6.5477702006895715,24.84050880623493
NH,51,18,35.294117647058826,23.634305381259786,49.01419502718927
NJ,265,174,65.66037735849056,59.75599501802458,71.11720317749277
NM,73,10,13.698630136986301,7.614307799620813,23.412635939187332
NN,13,2,15.384615384615385,4.325726318273798,42.23517050863101
NV,58,10,17.24137931034483,9.644189395085109,28.908500056675518
NY,333,98,29.429429429429426,24.791553419442806,34.53651057265318
OH,347,141,40.63400576368876,35.59611588836033,45.87700474499673
OK,166,61,36.74698795180723,29.78976712746687,44.30374117674128
OR,127,18,14.173228346456693,9.157006914566686,21.293247438788825
PA,390,174,44.61538461538462,39.75818373972662,49.577630455625005
PR,99,38,38.38383838383838,29.408494593454726,48.227014772405
RI,29,15,51.724137931034484,34.43073797056916,68.61418066920479
SC,165,90,54.54545454545454,46.930554327978754,61.95351215800574
SD,49,7,14.285714285714285,7.096333720544585,26.667973189162918
TN,277,87,31.40794223826715,26.22777980314807,37.0967419201294
TX,1152,611,53.03819444444444,50.15085489624165,55.90533827071133
UT,129,16,12.4031007751938,7.780583983222932,19.20012085622495
VA,171,54,31.57894736842105,25.081685457682347,38.885699878530545
VI,3,1,33.33333333333333,6.14903152761605,79.23450448735122
VT,38,3,7.894736842105263,2.721410139426493,20.79967892026529
WA,247,66,26.720647773279353,21.589483939835795,32.5648509073347
WI,202,51,25.247524752475247,19.756649681204262,31.662305476548113
WV,103,34,33.00970873786408,24.682835312636037,42.5583890793611
WY,33,3,9.090909090909092,3.140337104926305,23.572943534351033
