Compound,n_systems,pws_det_n,pws_det_pct,det_ci_lo,det_ci_hi,pws_exceed_n,pws_exceed_pct,exceed_ci_lo,exceed_ci_hi,max_conc_ngl
11Cl-PF3OUdS,10289,0,0.0,0.0,0.0373230265197125,,,,,
4:2 FTS,10289,2,0.01943823500826125,0.005330715431855955,0.07085427122916485,,,,,7.6
6:2 FTS,10289,182,1.768879385751774,1.5315844667433054,2.0421769326354635,,,,,672.0
8:2 FTS,10289,10,0.09719117504130625,0.052801790422541274,0.17883103680371276,,,,,41.9
9Cl-PF3ONS,10289,1,0.009719117504130625,0.0017156393624942967,0.05503836722787236,,,,,3.4
ADONA,10289,3,0.029157352512391873,0.0099164358897023,0.08569953084197267,,,,,8.1
HFPO-DA,10289,47,0.4567985226941394,0.34371013457314104,0.6068689552673168,16.0,0.15550588006609,0.09574473273929361,0.25247397491088536,140.0
NEtFOSAA,10294,1,0.009714396735962697,0.001714806032421045,0.055011644294800925,,,,,6.8999999999999995
NFDHA,10289,4,0.0388764700165225,0.015119061320372532,0.0999278854819566,,,,,39.0
NMeFOSAA,10294,1,0.009714396735962697,0.001714806032421045,0.055011644294800925,,,,,14.8
PFBA,10289,1893,18.398289435319274,17.66143094969869,19.15873735056934,,,,,1700.0
PFBS,10289,1674,16.269802701914664,15.569229652941841,16.995554011852924,,,,,290.0
PFDA,10289,15,0.14578676256195938,0.0883708747178554,0.24041685286166936,,,,,12.4
PFDoA,10289,4,0.0388764700165225,0.015119061320372532,0.0999278854819566,,,,,4.7
PFEESA,10289,0,0.0,0.0,0.0373230265197125,,,,,
PFHpA,10289,553,5.374671979784235,4.955328773779882,5.827326231811578,,,,,72.7
PFHpS,10289,5,0.04859558752065313,0.020758553881228384,0.1137193729917549,,,,,5.5
PFHxA,10289,1778,17.280590922344253,16.562282775285144,18.02332281685766,,,,,260.0
PFHxS,10289,1021,9.923218971717368,9.360391225209819,10.515962453447786,171.0,1.6619690932063367,1.4323728983521582,1.927647720249414,250.2
PFMBA,10289,1,0.009719117504130625,0.0017156393624942967,0.05503836722787236,,,,,3.0
PFMPA,10289,2,0.01943823500826125,0.005330715431855955,0.07085427122916485,,,,,10.4
PFNA,10289,83,0.806686752842842,0.651259328714219,0.9988350436697883,21.0,0.20410146758674313,0.1335377635622716,0.3118358444411782,99.8
PFOA,10289,1288,12.518223345320244,11.892739229066917,13.171686128455345,1259.0,12.236368937700457,11.61720705325146,12.883719882221833,235.0
PFOS,10289,1336,12.984740985518513,12.349023473125765,13.6480889277879,1309.0,12.722324812906988,12.0923287317171,13.3801472072889,490.0
PFPeA,10289,2032,19.74924676839343,18.991344759715425,20.529729770373535,,,,,358.0
PFPeS,10289,50,0.4859558752065313,0.3688236258553173,0.6400484041971031,,,,,36.4
PFTA,10294,0,0.0,0.0,0.037304904748195,,,,,
PFTrDA,10294,0,0.0,0.0,0.037304904748195,,,,,
PFUnA,10289,6,0.058314705024783746,0.026728441330117043,0.12718046561352037,,,,,22.2
