Variable,Coefficient,SE,P_Value,OR
const,-1.2476397999947526,0.21679377574075373,8.66616206350345e-09,0.2871818041052197
log_population,0.16920034223780842,0.01740624913022462,2.461649466087562e-22,1.1843573919675447
source_water_SW,-0.07226245737193442,0.04426669994284231,0.10258813282228821,0.9302867031642693
owner_private,0.040155328787515515,0.06414847172906574,0.5313314497064164,1.0409724546244643
log_dist_superfund,-0.04080426066321411,0.024151988215234985,0.09112780162622608,0.9600170246537153
log_dist_federal,0.01860828387829655,0.028403969332346953,0.5123842521221575,1.0187824969168822
log_dist_spills,-0.014490475339691486,0.02599093491212371,0.5771719536568178,0.985614006326281
region_1,-1.0538719823673661,0.11356282269734407,1.693527241958021e-20,0.34858541611122856
region_10,1.5938896312908537,0.13803120745532715,7.616407073665901e-31,4.922859846719367
region_2,-0.37058465989255956,0.09286827675593994,6.595270772336482e-05,0.6903306040107005
region_3,-0.05075791484812364,0.08779353554809344,0.5631622198182641,0.9505087467366004
region_4,-0.8207046621605951,0.07112005308918415,8.3206970744874e-31,0.44012140830695673
region_6,-0.7289839905917078,0.07773445118237939,6.731549387236378e-21,0.4823988629736636
region_7,0.4620730907201931,0.10399933198925343,8.869706985465399e-06,1.5873613203677683
region_8,-0.8782710033746695,0.11368946913544062,1.117000991032922e-14,0.4155006902756947
region_9,-0.41050061251170705,0.08166215360894931,4.986906712212043e-07,0.6633181016634809
