Variable,OR_Unweighted,CI_Lo_Unweighted,CI_Hi_Unweighted,P_Unweighted,OR_IPW_Weighted,CI_Lo_IPW,CI_Hi_IPW,P_IPW,Pct_Change_OR,Direction_Changed,Significance_Changed
log_population,1.2062,1.1354,1.2815,0.0,1.1874,1.1192,1.2598,0.0,1.56,No,No
source_water_SW,1.8226,1.582,2.0997,0.0,2.1994,1.9082,2.5351,0.0,20.68,No,No
owner_private,1.5061,1.2334,1.839,5.8e-05,1.4801,1.2055,1.8173,0.00018,1.72,No,No
log_dist_superfund,0.8125,0.7537,0.8758,0.0,0.8291,0.7678,0.8954,2e-06,2.05,No,No
log_dist_federal,1.0805,0.9912,1.1778,0.078543,1.0961,1.0046,1.196,0.039079,1.45,No,Yes
log_dist_spills,0.9151,0.8425,0.994,0.035559,0.9133,0.8389,0.9942,0.036222,0.2,No,No
region_1,1.5875,1.0831,2.3269,0.01783,1.5384,1.091,2.1692,0.014018,3.1,No,No
region_10,0.7097,0.5294,0.9514,0.02186,0.6748,0.458,0.9941,0.046625,4.92,No,No
region_2,1.213,0.9074,1.6214,0.192346,1.1748,0.8649,1.5957,0.302514,3.15,No,No
region_3,1.473,1.1369,1.9083,0.003377,1.4014,1.0546,1.8623,0.019996,4.86,No,No
region_4,1.9105,1.5083,2.4199,0.0,1.8334,1.449,2.3198,0.0,4.03,No,No
region_6,2.6543,2.0209,3.4863,0.0,2.3198,1.77,3.0405,0.0,12.6,No,No
region_7,1.4185,1.0523,1.912,0.021762,1.467,1.0344,2.0805,0.031601,3.42,No,No
region_8,0.4563,0.2819,0.7384,0.001401,0.4383,0.2846,0.675,0.000182,3.94,No,No
region_9,0.6463,0.4806,0.8691,0.003871,0.5774,0.4237,0.787,0.000508,10.65,No,No
pct_minority_10,1.04,0.9979,1.084,0.062964,1.0665,1.0239,1.1108,0.001971,2.54,No,Yes
pct_poverty_10,0.8569,0.7728,0.9502,0.003401,0.8152,0.7355,0.9037,0.000101,4.86,No,No
log_pop_density,1.1542,1.08,1.2336,2.4e-05,1.1655,1.0924,1.2434,4e-06,0.98,No,No
