PWSID,any_pfas_detected,num_pfas_detected,det_11Cl_PF3OUdS,det_4_2_FTS,det_6_2_FTS,det_8_2_FTS,det_9Cl_PF3ONS,det_ADONA,det_HFPO_DA,det_NEtFOSAA,det_NFDHA,det_NMeFOSAA,det_PFBA,det_PFBS,det_PFDA,det_PFDoA,det_PFEESA,det_PFHpA,det_PFHpS,det_PFHxA,det_PFHxS,det_PFMBA,det_PFMPA,det_PFNA,det_PFOA,det_PFOS,det_PFPeA,det_PFPeS,det_PFTA,det_PFTrDA,det_PFUnA,max_4_2_FTS,max_6_2_FTS,max_8_2_FTS,max_9Cl_PF3ONS,max_ADONA,max_HFPO_DA,max_NEtFOSAA,max_NFDHA,max_NMeFOSAA,max_PFBA,max_PFBS,max_PFDA,max_PFDoA,max_PFHpA,max_PFHpS,max_PFHxA,max_PFHxS,max_PFMBA,max_PFMPA,max_PFNA,max_PFOA,max_PFOS,max_PFPeA,max_PFPeS,max_PFUnA,exceeds_pfos,exceeds_pfoa,exceeds_pfhxs,exceeds_pfna,exceeds_hfpo_da,exceeds_any_mcl,hi_component_count,hazard_index,exceeds_hi,exceeds_hi_total,first_sample_date,last_sample_date,num_sample_events,num_samples,system_size,primary_water_type,state,epa_region,treatment_codes_str,treat_gac,treat_iex,treat_nro,treat_pac,treat_mfl,treat_oth,pfas_occurrence,POPULATION_SERVED_COUNT,GW_SW_CODE,OWNER_TYPE_CODE,PRIMARY_SOURCE_CODE,IS_WHOLESALER_IND,is_purchased,exceeds_both_pfos_pfoa,any_regulated_detected,exceeds_any_npdwr,entry_quarter,has_pfas_treatment
010106001,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0065,0.0036,,,0.0036,,0.0099,,,,,0.0074,,0.0191,,,0,1,0,0,0,1,1.0,0.0018,0.0,0.0,2023-08-09,2024-05-13,4,7,L,GU,01,1,"CWL,GWD,MFL",0.0,0.0,0.0,0.0,1.0,0.0,No,26445,SW,N,GU,Y,0,0,1,1,2023Q3,0
010109005,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-05-13,2025-01-15,4,4,L,SW,01,1,"CWL,DAF,NMT",0.0,0.0,0.0,0.0,0.0,0.0,Yes,31961,SW,N,SWP,N,1,0,0,0,2024Q2,0
020000005,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-01-07,2025-07-15,3,3,S,SW,02,2,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,5500,SW,N,SW,N,0,0,0,0,2025Q1,0
020000008,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-01-31,2024-10-09,4,6,S,SW,02,2,"CON,GWD",0.0,0.0,0.0,0.0,0.0,0.0,DK,4999,SW,N,SWP,N,1,0,0,0,2024Q1,0
040000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-04-05,2024-01-09,2,6,S,GW,04,4,"CWA,INF,NMT,OTH",0.0,0.0,0.0,0.0,0.0,1.0,Yes,5961,GW,N,GW,N,0,0,0,0,2023Q2,0
043740039,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-01-10,2024-01-08,4,6,S,SW,04,4,"CON,CWL,POB",0.0,0.0,0.0,0.0,0.0,0.0,No,18415,SW,N,SW,N,0,0,0,0,2023Q1,0
050593203,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-02-03,2025-08-04,3,3,S,SW,05,5,,,,,,,,,5772,SW,N,SW,N,0,0,0,0,2025Q1,0
055293201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-03-12,2025-03-12,1,1,L,GW,05,5,"AIR,CWL,DFL,NMT,SFN",0.0,0.0,0.0,0.0,0.0,0.0,Yes,10198,GW,N,GW,N,0,0,0,0,2025Q1,0
055293603,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-03-12,2024-09-17,2,4,S,GW,05,5,"GWD,NMT",0.0,0.0,0.0,0.0,0.0,0.0,Yes,7284,GW,N,GW,N,0,0,0,0,2024Q1,0
055293611,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-05-06,2024-11-04,2,2,S,GW,05,5,"CWL,MFL,NMT",0.0,0.0,0.0,0.0,1.0,0.0,Yes,4391,GW,N,GW,N,0,0,0,0,2024Q2,0
