state,total_pws,total_pop,detect_pws,exceed_pws,exceed_pop,detect_pop,pct_state_pop_exceed
AK,32,583704,9,4,331575.0,388803.0,56.80533283993257
AL,309,5934414,118,80,1873199.0,3185330.0,31.565020573219194
AR,185,2571905,11,1,4514.0,113808.0,0.17551192598482449
AS,1,45315,1,0,,45315.0,0.0
AZ,154,6834147,57,25,1027729.0,5252597.0,15.038145945646178
CA,719,39451885,236,165,11258013.0,16773054.0,28.53605854321029
CO,178,6425801,39,14,532292.0,1731572.0,8.283667670380703
CT,104,2977823,48,38,1729451.0,1843255.0,58.07769635737249
DC,3,667325,3,0,,667325.0,0.0
DE,46,1006644,17,14,720320.0,740968.0,71.55657809513592
FL,407,21259808,191,157,10958059.0,13574428.0,51.543546395150884
GA,255,9759163,77,42,1712377.0,4658838.0,17.546351054900917
GU,5,186886,3,1,139207.0,159687.0,74.48765557612663
HI,45,1459539,2,0,,848868.0,0.0
IA,152,2438376,32,8,405957.0,589212.0,16.64866288054016
ID,61,1329500,8,3,168840.0,214235.0,12.69951109439639
IL,487,11121493,123,27,499073.0,2615719.0,4.487464048217267
IN,230,4805578,55,19,461648.0,2195191.0,9.606503109511488
KS,103,2346251,34,5,77369.0,1060951.0,3.297558530609044
KY,231,4319288,87,32,1284581.0,2473117.0,29.74057298332503
LA,268,4575271,47,7,440926.0,1652498.0,9.637155919288716
MA,263,7123941,143,106,2211957.0,3444679.0,31.04962548117678
MD,83,5358186,30,16,168424.0,4304467.0,3.1433026027838524
ME,41,533462,10,5,55766.0,76150.0,10.453603068259783
MI,319,6884322,44,7,239135.0,1154621.0,3.473617300294786
MN,196,4176573,87,17,387812.0,3048863.0,9.285411747861225
MO,232,4926070,71,9,305345.0,2699650.0,6.1985517867184186
MP,2,49268,1,1,48524.0,48524.0,98.48989201916051
MS,239,2302617,9,7,98706.0,112404.0,4.28668771228563
MT,45,604648,5,2,25125.0,43692.0,4.155310197007185
NC,290,8763912,145,115,4035589.0,6034737.0,46.047803766172
ND,38,559032,7,0,,85919.0,0.0
NE,53,1433881,7,4,108085.0,146793.0,7.537933761588304
NH,51,729755,18,16,311929.0,325129.0,42.7443457050654
NJ,265,8763970,174,156,6841625.0,7071283.0,78.06536307175858
NM,73,1701079,10,5,102904.0,182908.0,6.049336920860231
NN,13,71627,2,0,,7791.0,0.0
NV,58,3215039,10,3,488064.0,2060165.0,15.180655662341888
NY,333,17051490,98,52,2458842.0,3630592.0,14.420100530804053
OH,347,9909258,141,59,3817171.0,5643226.0,38.52125961398926
OK,166,3020987,61,13,355338.0,1484744.0,11.762314766664007
OR,127,3422751,18,11,288433.0,403657.0,8.426934942097745
PA,390,10727574,174,119,4833052.0,5706544.0,45.05260928519346
PR,99,3020151,38,27,1820367.0,2046675.0,60.274039278168544
RI,29,1047226,15,10,265796.0,426268.0,25.38095883792037
SC,165,4387556,90,68,2375544.0,2859831.0,54.14276193853708
SD,49,684666,7,2,15508.0,136488.0,2.2650460224401385
TN,277,7615955,87,37,997608.0,2680986.0,13.098921934281387
TX,1152,29377475,611,103,8377320.0,24672934.0,28.51613353428094
UT,129,3492705,16,4,406714.0,815719.0,11.644670821039853
VA,171,7094799,54,20,2475037.0,4271931.0,34.88523071619083
VI,3,69550,1,1,550.0,550.0,0.7907979870596693
VT,38,300409,3,1,378.0,18478.0,0.12582845387455105
WA,247,8504660,66,34,2101842.0,3606637.0,24.714003852005842
WI,202,3726264,51,23,296295.0,972277.0,7.951530004315314
WV,103,1208586,34,21,158175.0,304217.0,13.087608163589518
WY,33,410041,3,1,10330.0,41490.0,2.5192602690950414
