observation_index,cooks_distance,y_observed,y_predicted
5024,0.002482,1,0.0445
2344,0.002456,1,0.0552
5543,0.002172,1,0.058
2345,0.00196,1,0.0644
8137,0.001938,1,0.0511
597,0.00176,1,0.095
5353,0.001744,1,0.1034
5297,0.001703,1,0.0385
5594,0.001435,1,0.1073
2576,0.001276,1,0.2083
5624,0.001201,1,0.0629
6458,0.001139,0,0.8904
7088,0.001106,1,0.0323
126,0.001086,1,0.0929
5600,0.001047,1,0.1213
7776,0.001014,1,0.0636
1536,0.001012,1,0.0644
5623,0.001004,1,0.0809
6107,0.000998,1,0.0844
5293,0.00099,1,0.0481
