Variable,Coefficient,SE,OR,CI_Lower,CI_Upper,P_Value,Sig,Model,N,AIC,AUC,Max_VIF
log_population,0.4319,0.071,1.5402,1.34,1.7703,0.0,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
source_water_SW,0.6015,0.0722,1.8248,1.584,2.1023,0.0,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
owner_private,0.4111,0.1019,1.5085,1.2354,1.8418,5.5e-05,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_1,0.4592,0.1951,1.5828,1.0798,2.3202,0.018591,*,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_2,0.1897,0.1481,1.2089,0.9044,1.6161,0.200134,,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_3,0.3827,0.1322,1.4662,1.1315,1.8999,0.0038,**,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_4,0.6408,0.1201,1.8979,1.5,2.4014,0.0,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_6,0.9646,0.138,2.6236,2.0018,3.4387,0.0,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_7,0.341,0.1521,1.4063,1.0439,1.8947,0.024946,*,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_8,-0.7949,0.2456,0.4516,0.2791,0.7309,0.00121,**,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_9,-0.4381,0.1511,0.6452,0.4799,0.8676,0.003732,**,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
region_10,-0.3501,0.1494,0.7046,0.5257,0.9444,0.019148,*,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
log_dist_superfund,-0.4488,0.0824,0.6384,0.5432,0.7502,0.0,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
log_dist_federal,0.1564,0.091,1.1693,0.9783,1.3977,0.085703,,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
log_dist_spills,-0.1852,0.089,0.831,0.698,0.9893,0.037469,*,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
pct_minority_10,0.0394,0.0211,1.0401,0.998,1.084,0.062097,,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
pct_poverty_10,-0.1555,0.0525,0.856,0.7723,0.9488,0.00307,**,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
log_pop_density,0.3265,0.0772,1.3861,1.1914,1.6126,2.4e-05,***,Model3_Detection_Demo,4444,5264.8,0.7027,49.59
