Variable,Coefficient,SE,OR,CI_Lower,CI_Upper,P_Value,Sig,Model,N,AIC,AUC,Max_VIF
log_population,0.5064,0.0855,1.6593,1.4034,1.9619,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
source_water_SW,-0.0471,0.0926,0.954,0.7956,1.144,0.611339,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
owner_private,0.5614,0.1191,1.7531,1.3881,2.214,2e-06,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_1,1.4971,0.2149,4.4686,2.9326,6.8092,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_2,1.0666,0.1764,2.9056,2.0562,4.106,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_3,1.2345,0.1649,3.4366,2.4876,4.7478,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_4,1.5294,0.157,4.6153,3.3931,6.2777,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_6,0.167,0.2047,1.1817,0.7911,1.7652,0.414788,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_7,-0.1786,0.2741,0.8364,0.4888,1.4314,0.514626,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_8,-0.5801,0.3907,0.5599,0.2603,1.2041,0.137645,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_9,0.2317,0.1895,1.2608,0.8697,1.8277,0.221266,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
region_10,0.1317,0.2011,1.1408,0.7692,1.6918,0.512535,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
log_dist_superfund,-0.4107,0.1022,0.6632,0.5428,0.8103,5.9e-05,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
log_dist_federal,0.1224,0.1154,1.1302,0.9014,1.4171,0.288992,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
log_dist_spills,-0.1309,0.1111,0.8773,0.7057,1.0906,0.238497,,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
pct_minority_10,0.0717,0.0268,1.0743,1.0192,1.1323,0.007583,**,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
pct_poverty_10,-0.2133,0.0691,0.8079,0.7055,0.9251,0.002022,**,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
log_pop_density,0.5236,0.1041,1.6882,1.3766,2.0702,0.0,***,Model4_Exceedance_Demo,4444,3613.6,0.7579,49.59
