Variable,OR,CI_Lower,CI_Upper,P_Value,Sig
log_population,1.5496,1.2771,1.8803,9e-06,***
source_water_SW,1.9005,0.9321,3.8751,0.077326,
owner_private,1.3944,1.1301,1.7205,0.001931,**
region_1,1.9461,0.8544,4.4326,0.112877,
region_2,2.3356,0.762,7.1589,0.137731,
region_3,2.0449,1.0117,4.1336,0.046342,*
region_4,2.584,1.1453,5.8299,0.022207,*
region_6,2.8948,0.7637,10.9723,0.117926,
region_7,1.9141,0.8275,4.4279,0.129168,
region_8,0.5159,0.1865,1.427,0.202306,
region_9,0.8566,0.3342,2.1959,0.74727,
region_10,1.0269,0.47,2.2436,0.946899,
log_dist_superfund,0.6339,0.4663,0.8617,0.003606,**
log_dist_federal,1.052,0.8311,1.3317,0.673112,
log_dist_spills,0.8979,0.7396,1.09,0.276072,
pct_minority_10,1.0046,0.9268,1.0889,0.911573,
pct_poverty_10,0.925,0.7588,1.1275,0.440264,
log_pop_density,1.3045,1.0251,1.6599,0.03062,*
