Variable,Coefficient,SE,OR,CI_Lower,CI_Upper,P_Value,Significance,VIF
log_population,0.2283,0.0189,1.2565,1.2107,1.304,0.0,***,1.18
source_water_SW,0.7091,0.0468,2.0322,1.854,2.2276,0.0,***,1.09
owner_private,0.3308,0.0684,1.3921,1.2175,1.5917,1e-06,***,1.04
log_dist_superfund,-0.2482,0.0255,0.7802,0.7422,0.8201,0.0,***,1.31
log_dist_federal,0.0373,0.0305,1.038,0.9779,1.1019,0.220461,,1.51
log_dist_spills,-0.1842,0.0272,0.8318,0.7887,0.8773,0.0,***,1.46
region_1,0.0697,,1.0722,,,,,
region_10,-0.6736,,0.5099,,,,,
region_2,-0.0148,,0.9853,,,,,
region_3,-0.0305,,0.9699,,,,,
region_4,0.274,,1.3152,,,,,
region_5,-0.3732,,0.6885,,,,,
region_6,0.5881,,1.8006,,,,,
region_7,0.0444,,1.0454,,,,,
region_8,-1.0458,,0.3514,,,,,
region_9,-0.4756,,0.6215,,,,,
