Variable,Coefficient,SE,OR,CI_Lower,CI_Upper,P_Value,Sig,Model,N,AIC,AUC,Max_VIF
log_population,0.5275,0.0436,1.6948,1.556,1.8459,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
source_water_SW,0.7115,0.0468,2.037,1.8583,2.2329,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
owner_private,0.3317,0.0683,1.3933,1.2186,1.593,1e-06,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_1,0.4436,0.1133,1.5583,1.2479,1.9458,9.1e-05,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_2,0.3535,0.0993,1.424,1.1722,1.7298,0.000369,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_3,0.3362,0.0957,1.3996,1.1603,1.6884,0.000442,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_4,0.6411,0.0769,1.8986,1.633,2.2075,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_6,0.9507,0.0836,2.5875,2.1963,3.0484,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_7,0.405,0.1177,1.4994,1.1906,1.8883,0.000577,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_8,-0.6861,0.1455,0.5035,0.3786,0.6698,2e-06,***,Model1_Detection,10137,11930.6,0.7004,21.34
region_9,-0.1027,0.0936,0.9024,0.7512,1.0841,0.272631,,Model1_Detection,10137,11930.6,0.7004,21.34
region_10,-0.3095,0.1315,0.7338,0.5671,0.9495,0.018576,*,Model1_Detection,10137,11930.6,0.7004,21.34
log_dist_superfund,-0.5449,0.0551,0.5799,0.5205,0.646,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
log_dist_federal,0.0806,0.064,1.0839,0.9561,1.2289,0.208179,,Model1_Detection,10137,11930.6,0.7004,21.34
log_dist_spills,-0.3813,0.0579,0.683,0.6098,0.765,0.0,***,Model1_Detection,10137,11930.6,0.7004,21.34
