Variable,Coefficient,SE,OR,CI_Lower,CI_Upper,P_Value,Sig,Model,N,AIC,AUC,Max_VIF
log_population,0.624,0.0539,1.8663,1.6792,2.0743,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
source_water_SW,0.0833,0.0606,1.0868,0.9652,1.2238,0.169227,,Model2_Exceedance,10137,8001.4,0.7524,21.34
owner_private,0.5235,0.0815,1.6879,1.4388,1.9802,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_1,1.4704,0.1337,4.3509,3.3479,5.6544,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_2,1.4411,0.1228,4.2255,3.3216,5.3755,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_3,1.1569,0.1245,3.1802,2.4918,4.0587,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_4,1.5853,0.1071,4.8805,3.9562,6.0208,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_6,0.2633,0.1348,1.3012,0.999,1.6949,0.050863,,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_7,-0.1421,0.2228,0.8675,0.5606,1.3425,0.523554,,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_8,-0.4251,0.2388,0.6537,0.4093,1.044,0.075125,,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_9,0.7195,0.1226,2.0534,1.6148,2.6111,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
region_10,0.3285,0.1771,1.3889,0.9815,1.9653,0.063639,,Model2_Exceedance,10137,8001.4,0.7524,21.34
log_dist_superfund,-0.5877,0.0694,0.5556,0.485,0.6365,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
log_dist_federal,0.1204,0.0829,1.128,0.9589,1.3269,0.146145,,Model2_Exceedance,10137,8001.4,0.7524,21.34
log_dist_spills,-0.3797,0.0735,0.684,0.5923,0.79,0.0,***,Model2_Exceedance,10137,8001.4,0.7524,21.34
