quarter,Median_All_ugL,P90_All_ugL,Median_PFOS_ugL,Median_PFOA_ugL
2023Q1,0.0057,0.0142,0.007,0.0065
2023Q2,0.0055,0.0127,0.0062,0.006
2023Q3,0.0056,0.0134,0.0071,0.0061
2023Q4,0.0057,0.014,0.0068,0.006
2024Q1,0.0055,0.013,0.00695,0.006
2024Q2,0.0053,0.0122,0.0066,0.006
2024Q3,0.0055,0.0124,0.0066,0.006
2024Q4,0.0055,0.014,0.0068,0.0062
2025Q1,0.0055,0.01429000000000001,0.0068,0.0063
2025Q2,0.0052,0.013,0.00665,0.0063
2025Q3,0.0056,0.015449999999999998,0.007,0.0061
2025Q4,0.0053,0.01355,0.0068000000000000005,0.0057
