quarter,N_Samples,N_Detections,N_PWS,Detection_Rate_Pct,PFOS_Rate,PFOA_Rate,Cumulative_PWS
2023Q1,120874,2154,2051,1.782,6.196,6.001,2051
2023Q2,129487,2641,2441,2.04,6.79,5.553,3119
2023Q3,179319,3998,2889,2.23,7.309,7.128,3607
2023Q4,187404,4367,3198,2.33,7.091,6.727,4023
2024Q1,204448,3978,3493,1.946,6.933,6.399,5981
2024Q2,194002,3484,3260,1.796,6.199,5.888,7056
2024Q3,196600,4153,3166,2.112,8.131,7.672,7472
2024Q4,184303,3695,3085,2.005,6.295,6.655,7889
2025Q1,165406,3392,2952,2.051,6.875,7.05,9588
2025Q2,135840,2522,2470,1.857,5.651,6.122,10236
2025Q3,119376,2446,2135,2.049,7.597,7.968,10291
2025Q4,46247,716,985,1.548,5.362,5.93,10297
