Quarter,SampleCount,DetectedCount,DetectionRate,CI_Lower_95,CI_Upper_95
2023Q1,120874,2154,0.01782020947432864,0.017089555118146988,0.018581511993296208
2023Q2,129487,2641,0.020395869855661185,0.019640069190531573,0.021180127316709284
2023Q3,179319,3998,0.022295462276724718,0.021622258220687966,0.022989133884309773
2023Q4,187404,4367,0.023302597596636145,0.022629262106734622,0.02399547635351559
2024Q1,204448,3978,0.019457270308342465,0.018867496329925036,0.020065102847014828
2024Q2,194002,3484,0.017958577746621168,0.017377097418501325,0.01855914832802881
2024Q3,196600,4153,0.02112410986775178,0.02049775539146543,0.021769178623520777
2024Q4,184303,3695,0.020048507078018262,0.019418508385089656,0.020698513510640115
2025Q1,165406,3392,0.020507115824093442,0.01983514914350762,0.02120135469653959
2025Q2,135840,2522,0.01856595995288575,0.01786160937973328,0.01929753998283893
2025Q3,119376,2446,0.02048988071304115,0.01970151711942574,0.02130910523006815
2025Q4,46247,716,0.015482085324453478,0.014396427925341343,0.016648230946336353
