entry_quarter,N_Systems,Mean_Population,Pct_Large,Det_Rate
2023Q1,2051,33251.50804485617,35.153583617747444,38.95660653339834
2023Q2,1068,31431.345505617977,45.1310861423221,33.42696629213483
2023Q3,488,57238.99180327869,94.26229508196721,48.5655737704918
2023Q4,416,76570.58173076923,97.59615384615384,40.14423076923077
2024Q1,1958,25886.160878447394,30.59244126659857,34.32073544433095
2024Q2,1075,21939.72,43.16279069767442,28.837209302325583
2024Q3,416,42478.63221153846,90.38461538461539,38.22115384615385
2024Q4,417,41169.02877697842,95.92326139088729,39.80815347721823
2025Q1,1699,15467.09299587993,23.190111830488522,31.37139493819894
2025Q2,648,7432.908950617284,9.567901234567902,19.444444444444443
2025Q3,55,8885.90909090909,30.90909090909091,20.0
2025Q4,6,21352.833333333332,66.66666666666667,33.333333333333336
